Set class,Species
0 2 3 4 5 8,Sesbania herbacea
0 3 5 6 7 8,Sesbania vesicaria
0 1 2 3 5 8,Stylosanthes calcicola
0 2 5 6 7 8,Stylosanthes hamata
0 1 2 3 6 8,Vicia acutifolia
0 1 2 3 6 9,Vigna luteola 
0 2 3 6 7 8,Tephrosia hispidula
0 1 2 5 6 8,Tephrosia rugelii
0 3 4 7 8 9,Tephrosia chrysophylla
0 1 2 5 6 9,Tephrosia florida 
0 2 3 4 6 9,Tephrosia spicata
0 3 5 7 8 9,Centrosema virginianum
0 1 2 4 6 9,Clitoria mariana
0 2 5 7 8 9,Zornia bracteata 
0 1 2 4 7 9,Amorpha fruticosa
0 1 2 5 7 9,Amorpha herbacea var. herbacea
0 1 3 4 7 9,Indigofera caroliniana
0 1 4 6 7 9,Erythrina herbacea
0 1 2 3 4 5 6,Cyperus haspan
0 2 3 4 5 6 7,Cyperus polystachyos
0 1 2 3 4 5 7,Cyperus surinamensis
0 3 4 5 6 7 8,Cyperus elegans
0 1 2 3 4 5 8,Cyperus compressus
0 1 3 4 5 6 7,Cyperus flavescens
0 1 2 3 4 6 7,Cyperus articulatus
0 1 2 4 5 6 7,Cyperus croceus
0 1 2 3 5 6 7,Cyperus planifolius
0 1 4 5 6 7 8,Cyperus distinctus
0 1 2 3 4 7 8,Cyperus tetragonus
0 1 2 5 6 7 8,Cyperus ligularis
0 1 2 3 6 7 8,Cyperus lecontei
0 2 3 4 5 6 8,Cyperus ovatus
0 2 4 5 6 7 8,Cyperus strigosus
0 1 2 3 4 6 8,Cyperus odoratus
0 2 3 4 5 6 9,Cyperus floridanus
0 1 2 3 4 6 9,Carex gigantea
0 2 3 4 5 7 8,Carex longii
0 1 3 4 5 6 8,Carex lupuliformis
0 1 2 3 4 7 9,Carex vexans
0 2 3 4 6 7 8,Remirea maritima
0 1 2 4 5 6 8,Kyllinga odorata 
0 1 3 5 6 7 8,Fuirena breviseta
0 1 2 3 5 7 8,Fuirena scirpoidea
0 1 2 4 6 7 8,Schoenus nigricans
0 1 3 4 5 6 9,Bulbostylis stenophylla 
0 1 2 3 5 6 9,Bulbostylis ciliatifolia
0 1 2 4 5 6 9,Abildgaardia ovata
0 1 4 5 6 7 9,Rhynchospora globularis 
0 1 4 6 7 8 9,Rhynchospora tracyi 
0 1 2 3 6 8 9,Rhynchospora fascicularis
0 1 2 3 6 7 9,Rhynchospora grayi 
0 1 2 5 7 8 9,Rhynchospora miliacea
0 1 2 5 6 7 9,Rhynchospora megalocarpa
0 1 3 4 5 8 9,Rhynchospora divergens
0 1 2 4 5 8 9,Rhynchospora nitens
0 1 2 5 6 8 9,Rhynchospora odorata 
0 2 4 5 6 7 9,Rhynchospora microcarpa 
0 2 3 4 5 7 9,Rhynchospora plumosa
0 2 4 6 7 8 9,Rhynchospora corniculata
0 1 2 3 5 7 9,Rhynchospora inundata
0 2 3 5 6 7 9,Rhynchospora colorata
0 2 3 4 6 7 9,Rhynchospora floridensis
0 1 3 4 5 7 9,Rhynchospora latifolia
0 2 4 5 6 8 9,Fimbristylis spadicea
0 2 4 5 7 8 9,Fimbristylis autumnalis
0 1 2 4 5 7 9 ,Fimbristylis dichotoma
0 1 3 5 6 7 9,Fimbristylis puberula
0 2 3 4 6 8 9,Fimbristylis caroliniana
0 2 3 5 7 8 9,Scleria baldwinii
0 1 2 4 6 7 9,Scleria lithosperma
0 1 3 5 7 8 9,Scleria triglomerata
0 1 2 4 6 8 9,Scleria reticularis
0 1 3 4 6 7 9,Scleria ciliata 
0 2 3 5 6 8 9,Scleria hirtella
0 1 3 5 6 8 9,Scleria verticillata
0 1 3 4 6 8 9,Eleocharis cellulosa 
0 1 2 4 6 8 10,Eleocharis interstincta
0 1 3 4 6 8 10,Eleocharis elongata
0 1 3 5 6 8 10,Eleocharis flavescens
0 2 3 5 6 7 8,Eleocharis geniculata
0 1 2 3 5 6 8,Eleocharis baldwinii 
0 1 3 4 5 7 8,Schoenoplectus tabernaemontani 
0 1 3 4 6 7 8,Schoenoplectus pungens
0 1 2 4 5 7 8,Cladium jamaicense
0 1 2 3 4 5 6 7,Cenchrus echinatus
0 2 3 4 5 6 7 8,Cenchrus incertus
0 1 2 3 4 5 6 8,Setaria parviflora
0 1 2 3 4 5 6 9,Sporobolus domingensis
0 1 3 4 5 6 7 8,Sporobolus virginicus
0 1 2 3 4 5 7 8,Panicum rigidulum
0 1 2 4 5 6 7 8,Panicum amarum
0 1 2 3 4 6 7 8,Panicum virgatum
0 1 2 3 5 6 7 8,Panicum hemitomon
0 1 2 3 4 5 8 9,Schizachyrium sanguineum
0 1 2 3 4 7 8 9,Schizachyrium rhizomatum
0 1 2 3 6 7 8 9,Schizachyrium gracile
0 2 3 4 5 6 7 9,Andropogon ternarius
0 2 4 5 6 7 8 9,Eustachys glauca
0 1 2 3 4 5 7 9,Eustachys petraea
0 1 3 4 5 6 7 9,Axonopus fissifolius
0 2 3 4 5 6 8 9,Axonopus furcatus
0 2 3 5 6 7 8 9 ,Saccharum giganteum
0 1 2 3 4 6 7 9,Digitaria ciliaris
0 1 2 4 5 6 7 9,Paspalum vaginatum
0 2 3 4 5 7 8 9,Paspalum caespitosum
0 1 3 5 6 7 8 9,Paspalum conjugatum
0 1 2 3 4 6 8 9,Paspalum setaceum
0 1 2 4 6 7 8 9,Paspalum monostachyum
0 1 2 3 5 7 8 9,Urochloa adspersa
0 1 3 4 5 6 8 9,Dichanthelium dichotomum 
0 1 3 4 6 7 8 9,Dichanthelium aciculare
0 1 2 3 5 6 8 9,Dichanthelium commutatum
0 1 3 4 5 7 8 9,Dichanthelium strigosum var. glabrescens
0 1 2 4 5 6 8 9,Dichanthelium portoricense
0 1 2 4 5 7 8 9,Lasiacis divaricata
0 1 2 3 4 6 8 10,Aristida gyrans
0 1 2 3 5 7 9 10,Aristida purpurascens
0 1 2 3 5 6 8 10,Aristida stricta
0 1 2 3 5 7 8 10,Uniola paniculata
0 1 2 4 5 6 8 10,Spartina bakeri 
0 1 2 4 6 7 8 10,Spartina patens
0 1 3 4 5 7 8 10,Spartina spartinae 
0 1 2 4 6 7 9 10,Phragmites australis
0 1 2 4 5 7 8 10,Sorghastrum secundum
0 1 3 4 6 7 9 10,Andropogon glomeratus var. pumilus
0 2 3 4 6 7 8 9,Eragrostis elliottii 
0 1 2 3 5 6 7 9,Muhlenbergia capillaris 
0 1 2 3 4 5 6 7 8,Tillandsia usneoides
0 1 2 3 4 5 6 7 9,Tillandsia recurvata
0 2 3 4 5 6 7 8 9,Tillandsia pruinosa 
0 1 3 4 5 6 7 8 9,Tillandsia paucifolia
0 1 2 3 4 5 6 8 9 ,Tillandsia balbisiana 
0 1 2 4 5 6 7 8 9,Tillandsia setacea
0 1 2 3 4 5 7 8 9,Tillandsia simulata
0 1 2 3 5 6 7 8 9,Tillandsia variabilis
0 1 2 3 4 6 7 8 9,Tillandsia x floridana
0 1 2 3 4 5 6 8 10,Tillandsia x smalliana 
0 1 2 3 4 5 7 9 10,Tillandsia fasciculata var. densispica
0 1 2 3 4 5 7 8 10,Tillandsia fasciculata var. clavispica
0 1 2 3 4 6 8 9 10,Tillandsia fasciculata var. fasciculata
0 1 2 3 4 6 7 8 10,Tillandsia flexuosa
0 1 2 3 5 6 7 8 10,Tillandsia utriculata
0 1 2 3 4 6 7 9 10,Guzmania monostachia
0 1 2 3 5 6 8 9 10,Catopsis floribunda
0 1 2 3 5 6 7 9 10,Catopsis nutans
0 1 2 4 5 6 8 9 10,Catopsis berteroniana
0 1 2 3 4 5 6 7 8 9,Justicia angusta
0 1 2 3 4 5 6 7 8 10,Elytraria caroliniensis var. angustifolia
0 1 2 3 4 5 6 7 9 10,Dyschoriste angusta
0 1 2 3 4 5 6 8 9 10,Ruellia succulenta 
0 1 2 3 4 5 7 8 9 10,Stenandrium dulce
0 1 2 3 4 6 7 8 9 10,Avicennia germinans
0 1 2 3 4 5 6 7 8 9 10,Zamia integrifolia
0 1 2 3 4 5 6 7 8 9 10 11,Pleopeltis polypodioides var. michauxiana


